body_Z	body_Y	body_X	chain_1_segment_1_Y	chain_1_segment_1_Z	chain_1_segment_1_X	chain_1_segment_2_Y	chain_1_segment_2_Z	chain_1_segment_2_X	chain_1_segment_3_Y	chain_1_segment_3_Z	chain_1_segment_3_X	chain_1_segment_4_Z	chain_1_segment_4_Y	chain_1_segment_4_X	chain_2_segment_1_Y	chain_2_segment_1_Z	chain_2_segment_1_X	chain_2_segment_2_Y	chain_2_segment_2_Z	chain_2_segment_2_X	chain_2_segment_3_Y	chain_2_segment_3_Z	chain_2_segment_3_X	chain_2_segment_4_Z	chain_2_segment_4_Y	chain_2_segment_4_X
8.800440e+001	7.846696e+000	-7.975254e+001	8.142254e+001	1.911897e+001	-1.663431e+002	-9.934542e+001	-1.279553e-014	-1.752330e+002	-6.210728e+000	2.569411e-014	0	1.799457e+000	-4.482697e+001	0	7.596855e+001	-6.577095e+000	-1.595488e+002	-1.150562e+002	1.674177e-014	-1.682984e+002	-1.259419e+002	-3.135196e-014	0	1.515997e+001	1.900358e+001	0
8.802077e+001	7.903994e+000	-7.972463e+001	8.144299e+001	1.926799e+001	-1.660686e+002	-9.964204e+001	-1.278098e-014	-1.756735e+002	-6.155400e+000	-2.568831e-014	0	1.080348e+000	-4.478384e+001	0	7.584186e+001	-6.554616e+000	-1.591497e+002	-1.142611e+002	1.678326e-014	-1.680272e+002	-1.252011e+002	6.257056e-014	0	1.451249e+001	1.865206e+001	0
8.803630e+001	7.962832e+000	-7.969610e+001	8.146239e+001	1.941799e+001	-1.657837e+002	-9.994215e+001	-1.276639e-014	-1.761161e+002	-6.096732e+000	0	0	3.609666e-001	-4.473805e+001	0	7.571514e+001	-6.533808e+000	-1.587587e+002	-1.134560e+002	0	-1.677580e+002	-1.244552e+002	0	0	1.386787e+001	1.829092e+001	0
8.805078e+001	8.022973e+000	-7.966700e+001	8.148038e+001	1.956807e+001	-1.654888e+002	-1.002450e+002	0	-1.765575e+002	-6.034535e+000	0	0	-3.541873e-001	-4.469089e+001	0	7.558939e+001	-6.514947e+000	-1.583785e+002	-1.126468e+002	-3.371092e-014	-1.674918e+002	-1.237088e+002	0	0	1.322991e+001	1.792278e+001	0
8.806403e+001	8.084174e+000	-7.963734e+001	8.149657e+001	1.971738e+001	-1.651844e+002	-1.005499e+002	1.273796e-014	-1.769944e+002	-5.968659e+000	2.566120e-014	0	-1.060992e+000	-4.464376e+001	0	7.546556e+001	-6.498281e+000	-1.580115e+002	-1.118394e+002	3.377167e-014	-1.672295e+002	-1.229665e+002	3.108968e-014	0	1.260209e+001	1.755046e+001	0
8.807586e+001	8.146188e+000	-7.960716e+001	8.151058e+001	1.986509e+001	-1.648708e+002	-1.008565e+002	3.817367e-014	-1.774239e+002	-5.899005e+000	-7.694773e-014	0	-1.755774e+000	-4.459815e+001	0	7.534459e+001	-6.484024e+000	-1.576596e+002	-1.110398e+002	3.382474e-014	-1.669718e+002	-1.222331e+002	3.102727e-014	0	1.198751e+001	1.717689e+001	0
8.808613e+001	8.208769e+000	-7.957644e+001	8.152202e+001	2.001042e+001	-1.645486e+002	-1.011645e+002	1.271200e-014	-1.778433e+002	-5.825534e+000	2.563604e-014	0	-2.435356e+000	-4.455557e+001	0	7.522738e+001	-6.472351e+000	-1.573246e+002	-1.102536e+002	1.693519e-014	-1.667196e+002	-1.215128e+002	0	0	1.138886e+001	1.680503e+001	0
8.809470e+001	8.271671e+000	-7.954519e+001	8.153051e+001	2.015268e+001	-1.642182e+002	-1.014738e+002	0	-1.782501e+002	-5.748268e+000	0	0	-3.097076e+000	-4.451749e+001	0	7.511475e+001	-6.463391e+000	-1.570080e+002	-1.094863e+002	1.695451e-014	-1.664735e+002	-1.208101e+002	-3.090869e-014	0	1.080841e+001	1.643782e+001	0
8.810147e+001	8.334649e+000	-7.951338e+001	8.153568e+001	2.029121e+001	-1.638802e+002	-1.017843e+002	1.269022e-014	-1.786423e+002	-5.667303e+000	2.560658e-014	0	-3.738799e+000	-4.448529e+001	0	7.500749e+001	-6.457227e+000	-1.567110e+002	-1.087429e+002	-3.394130e-014	-1.662342e+002	-1.201288e+002	0	0	1.024797e+001	1.607809e+001	0
8.810635e+001	8.397460e+000	-7.948099e+001	8.153717e+001	2.042548e+001	-1.635349e+002	-1.020964e+002	2.536277e-014	-1.790179e+002	-5.582798e+000	-2.559071e-014	0	-4.358898e+000	-4.446021e+001	0	7.490632e+001	-6.453888e+000	-1.564342e+002	-1.080277e+002	1.698395e-014	-1.660022e+002	-1.194724e+002	-3.080028e-014	0	9.708907e+000	1.572850e+001	0
8.810926e+001	8.459860e+000	-7.944797e+001	8.153464e+001	2.055499e+001	-1.631828e+002	-1.024104e+002	2.534832e-014	-1.793757e+002	-5.494982e+000	0	0	-4.956244e+000	-4.444328e+001	0	7.481189e+001	-6.453350e+000	-1.561784e+002	-1.073448e+002	0	-1.657780e+002	-1.188440e+002	0	0	9.192194e+000	1.539148e+001	0
8.811017e+001	8.521608e+000	-7.941427e+001	8.152779e+001	2.067936e+001	-1.628244e+002	-1.027266e+002	-1.266868e-014	-1.797143e+002	-5.404144e+000	-2.555770e-014	0	-5.530174e+000	-4.443537e+001	0	7.472481e+001	-6.455531e+000	-1.559437e+002	-1.066974e+002	3.400726e-014	-1.655621e+002	-1.182463e+002	0	0	8.698408e+000	1.506921e+001	0
8.810906e+001	8.582466e+000	-7.937984e+001	8.151634e+001	2.079828e+001	-1.624602e+002	-1.030457e+002	2.533017e-014	-1.800331e+002	-5.310628e+000	-2.554102e-014	0	-6.080472e+000	-4.443705e+001	0	7.464561e+001	-6.460290e+000	-1.557302e+002	-1.060882e+002	0	-1.653549e+002	-1.176814e+002	9.197965e-014	0	8.227778e+000	1.476353e+001	0
