CREST	THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS					PELVIS_R	PELVIS_R	PELVIS_R	PELVIS_L	PELVIS_L	PELVIS_L	
-11.806	47.03333333	-9.541666667	66.01666667	78.66666667	38.71666667	121.1666667	120.3333333	94.93333333	192.5	4.943333333	-189.6866667					-9.14E+00	-1.74E+01	-1.20E+01	-2.00E+01	-1.31E+01	8.04E-01	-1.18E+01
-11.53883333	46.11666667	-9.943333333	63.68333333	76.05	37.43333333	122.3333333	121.6666667	97.8	192.3333333	4.941166667	-189.6566667					-9.09E+00	-1.66E+01	-1.14E+01	-1.98E+01	-1.29E+01	5.57E-01	-1.15E+01
-11.31383333	45.05	-11.29666667	61.76666667	74.01666667	36.06666667	123.6666667	122	99.68333333	192.3333333	4.923333333	-189.4					-9.08E+00	-1.59E+01	-1.08E+01	-1.97E+01	-1.27E+01	2.97E-01	-1.13E+01
-11.1882	43.95	-13.36	60.16666667	72.66666667	34.66666667	124.8333333	121.8333333	100.4166667	192.5	4.901666667	-189.095					-9.08E+00	-1.53E+01	-1.04E+01	-1.97E+01	-1.27E+01	5.08E-02	-1.12E+01
-11.07466667	42.9	-15.74666667	58.83333333	71.91666667	33.35	125.8333333	121.3333333	100.4833333	193	4.866666667	-188.7283333					-9.09E+00	-1.49E+01	-9.99E+00	-1.96E+01	-1.27E+01	-1.68E-01	-1.11E+01
-11.00983333	41.9	-18.22666667	57.65	71.7	32.05	127.1666667	120.3333333	100.0333333	194.1666667	4.8	-188.1583333					-9.10E+00	-1.45E+01	-9.70E+00	-1.96E+01	-1.28E+01	-3.59E-01	-1.10E+01
-10.9605	41.08333333	-20.55	56.55	71.76666667	30.91666667	128	119.1666667	99.21666667	195.3333333	4.74	-187.8666667					-9.10E+00	-1.42E+01	-9.53E+00	-1.95E+01	-1.29E+01	-5.33E-01	-1.10E+01
-10.93133333	40.35	-22.6	55.43333333	71.98333333	29.83333333	128.6666667	118.1666667	98.15	196.3333333	4.656666667	-187.58					-9.12E+00	-1.40E+01	-9.46E+00	-1.93E+01	-1.30E+01	-7.08E-01	-1.09E+01
-10.94333333	39.71666667	-24.31666667	54.31666667	72.16666667	28.88333333	129.3333333	117	97.13333333	197.6666667	4.563333333	-187.1133333					-9.15E+00	-1.38E+01	-9.51E+00	-1.92E+01	-1.31E+01	-9.00E-01	-1.09E+01
-11.02166667	39.13333333	-25.66666667	53.16666667	72.28333333	28	129.8333333	116	96.56666667	199.1666667	4.453333333	-186.8233333					-9.23E+00	-1.37E+01	-9.68E+00	-1.91E+01	-1.33E+01	-1.12E+00	-1.10E+01
