THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS	AB/ADKNEE
50.51111111	-28.23322222	58.97777778	77.58888889	29.91666667	85.28888889	97.48888889	85.22222222	198.6666667	1.291722222	1.327222222	39.66666667
50.02777778	-27.37611111	56.32222222	76.08888889	28.66666667	86.04444444	99.51111111	88.80555556	199.7777778	1.134483333	1.318333333	39.77777778
49.44444444	-27.48	53.83888889	74.65	27.31111111	86.92222222	100.7444444	91.58333333	200.7222222	0.947277778	1.26	39.88888889
48.91111111	-28.28111111	51.65	73.43333333	26.01111111	87.65	101.3666667	93.6	201.7777778	0.756777778	1.177777778	40.05555556
48.40555556	-29.51666667	49.77222222	72.55	24.81666667	88.37777778	101.2666667	94.96111111	202.6666667	0.565833333	1.101111111	40.11111111
47.95	-30.9	48.26111111	71.99444444	23.77777778	88.93888889	100.8833333	95.77222222	203.7777778	0.380333333	1.074444444	40.38888889
47.60555556	-32.3	46.98333333	71.68888889	22.88333333	89.42777778	100.1777778	96.10555556	204.7222222	0.211666667	1.010555556	40.5
47.27222222	-33.56666667	45.93888889	71.56666667	22.13333333	89.85	99.39444444	96.12222222	205.5555556	0.068333333	0.946111111	40.66666667
46.97777778	-34.65	45	71.56666667	21.46666667	90.09444444	98.53888889	96	206.5	-0.046666667	0.886666667	40.66666667
46.67222222	-35.57222222	44.16111111	71.56666667	20.84444444	90.38333333	97.8	95.75555556	207.4444444	-0.143888889	0.832777778	40.55555556
46.36666667	-36.36111111	43.34444444	71.55	20.24	90.55555556	97.06111111	95.48888889	208.1666667	-0.207777778	0.791111111	40.77777778
46.02777778	-37.06111111	42.52777778	71.48333333	19.635	90.76111111	96.59444444	95.28888889	209	-0.249444444	0.810555556	40.66666667
45.67777778	-37.72222222	41.67777778	71.31111111	18.99444444	90.91666667	95.94444444	95.17222222	209.6666667	-0.274444444	0.866111111	40.61111111
45.29444444	-38.39444444	40.80555556	71.07222222	18.32111111	90.99444444	95.75	95.06111111	210.1666667	-0.285	0.862222222	40.66666667
44.90555556	-39.07777778	39.92777778	70.78888889	17.61111111	91.17222222	95.30555556	95.12777778	210.7777778	-0.286666667	0.864444444	40.72222222
44.49444444	-39.82222222	39.03333333	70.41111111	16.88611111	91.35	95.05	95.15555556	211.5	-0.283333333	0.895	40.61111111
44.08888889	-40.57777778	38.10555556	70.06111111	16.12833333	91.52222222	94.79444444	95.28888889	212	-0.284444444	0.888888889	40.66666667
43.67777778	-41.37222222	37.18333333	69.66111111	15.34277778	91.61111111	94.59444444	95.47777778	212.4444444	-0.278888889	0.935	40.77777778
43.26111111	-42.21666667	36.27777778	69.27222222	14.54777778	91.79444444	94.32777778	95.69444444	213	-0.287222222	1.022222222	40.77777778
42.85555556	-43.02777778	35.35555556	68.91111111	13.75833333	91.95555556	93.94444444	95.84444444	213.5	-0.308777778	1.050555556	40.77777778
42.45555556	-43.83333333	34.43888889	68.52777778	12.95111111	92.23888889	93.66111111	96.02222222	214.1666667	-0.317388889	1.093888889	40.66666667
42.07222222	-44.64444444	33.53888889	68.16666667	12.15555556	92.42222222	93.26111111	96.17222222	214.5555556	-0.350333333	1.108333333	40.66666667
41.69444444	-45.44444444	32.61111111	67.79444444	11.36388889	92.54444444	93.01111111	96.33888889	215.2222222	-0.377722222	1.156666667	40.77777778
