RED	GREEN	BLUE
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0.15
0	0	0.25
0	0.05	0.4
0	0.188	0.5
0	0.25	0.55
0	0.313	0.6
0	0.375	0.65
0	0.438	1
0	0.5	1
0	0.563	1
0	0.625	1
0	0.688	1
0	0.75	1
0	0.813	1
0	0.875	1
0	0.938	1
0	1	1.025
0.0625	1	0.938
0.125	1	0.875
0.188	1	0.813
0.25	1	0.75
0.313	1	0.688
0.375	1	0.625
0.438	1	0.563
0.5	1	0.5
0.563	1	0.438
0.625	1	0.375
0.688	1	0.313
0.75	1	0.25
0.813	1	0.188
0.875	1	0.125
0.938	1	0.0625
1	1	0
1	0.938	0
1	0.875	0
1	0.813	0
1	0.75	0
1	0.688	0
1	0.625	0
1	0.563	0
1	0.5	0
1	0.438	0
1	0.375	0
1	0.313	0
1	0.25	0
1	0.188	0
1	0.125	0
1	0.0625	0
1	0	0
0.938	0	0
0.875	0	0
0.813	0	0
0.75	0	0
0.688	0	0
0.625	0	0
0.563	0	0
0.5	0	0
